route,route_type,garage_code,garage_name,operator,vehicle,additional_journeys,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
269,regular,BX,Bexleyheath,Go-Ahead,DD,,5.0,5.0,5.0,0.0,4.0,16.312,10.136
270,regular,BC,Beddington,Transport UK,DD,,6.0,6.0,6.0,0.0,5.0,10.096,6.273
272,regular,V,Stamford Brook,First,SD,,4.0,4.0,4.0,0.0,3.5,9.518,5.914
273,regular,TL,Catford,Stagecoach London,SD,,3.0,3.0,3.0,0.0,2.0,18.431,11.452
274,regular,HT; KC,Holloway; King's Cross,Metroline,DD,,4.5,5.0,4.5,0.0,5.5,11.22,6.972
275,regular,T,Leyton,Stagecoach London,DD,,4.0,4.5,4.5,0.0,2.5,18.673,11.603
276,regular,HO,Lea Interchange,Stagecoach London,SD,,4.5,4.5,4.5,0.0,4.0,17.446,10.841
277,regular,HK,Ash Grove,Stagecoach London,DD,,5.0,5.5,5.5,0.0,5.0,12.294,7.639
278,regular,DH,Hayes,Transport UK,DD,,4.5,4.0,4.0,0.0,3.0,16.8,10.439
279,regular,E,Enfield,Arriva,DD,,10.0,10.0,9.0,0.0,6.0,14.561,9.048
280,regular,GM,Ellis Road,Go-Ahead,DD,,6.5,6.0,6.0,0.0,5.0,11.952,7.427
281,twentyfour,FW,Fulwell,First,DD,281N; 281R,5.0,5.5,5.5,2.5,4.5,18.727,11.637
282,regular,G,Greenford,Metroline,DD,,5.0,5.0,5.0,0.0,4.0,19.158,11.904
284,regular,KB,Kangley Bridge Road,Stagecoach London,SD,,6.0,5.5,6.0,0.0,3.0,10.667,6.628
285,twentyfour,TF,Fulwell (Twickenham),Transport UK,DD,,5.0,5.0,5.0,2.0,5.0,20.196,12.549
286,regular,MG,Morden Wharf (Greenwich),Go-Ahead,DD,,5.5,5.0,5.5,0.0,3.0,14.717,9.145
287,regular,RM,Rainham,Stagecoach London,DD,,4.0,4.0,4.0,0.0,3.0,13.204,8.205
288,regular,BT,Edgware,First,SD,,6.0,6.0,6.0,0.0,4.0,6.467,4.019
289,regular,TH,Thornton Heath,Arriva,DD,,5.0,5.0,5.0,0.0,4.0,14.639,9.096
290,regular,FW,Fulwell,First,SD,,3.0,3.0,3.0,0.0,3.0,17.068,10.605
291,regular,MG,Morden Wharf (Greenwich),Go-Ahead,DD,,5.0,5.0,5.0,0.0,4.0,6.14,3.815
292,regular,UB,Hatfield,Uno,DD,,3.0,3.0,3.0,0.0,3.0,14.508,9.015
293,regular,TV,Tolworth,First,SD,,3.0,3.0,3.0,0.0,2.0,12.732,7.911
294,regular,NS,Romford,Stagecoach London,DD,,4.0,4.5,4.5,0.0,2.5,15.918,9.891
295,twentyfour,X,Westbourne Park,First,DD,,7.0,7.0,7.0,2.0,5.0,12.303,7.645
296,regular,NS,Romford,Stagecoach London,SD,,3.5,3.5,4.0,0.0,2.0,13.538,8.412
297,twentyfour,PV,Perivale [East],Metroline,DD,,5.0,5.0,5.0,2.5,4.5,15.007,9.325
298,regular,UB,Hatfield,Uno,DD,,3.0,3.0,3.0,0.0,2.0,12.492,7.762
299,regular,NP,Northumberland Park,Go-Ahead,SD,,4.0,4.0,4.0,0.0,2.0,9.468,5.883
300,regular,SI,Silvertown,Go-Ahead,SD,,4.0,4.0,4.0,0.0,3.0,11.969,7.437
301,regular,DT,Dartford,Arriva,DD,,5.0,5.0,5.0,0.0,5.0,12.761,7.929
302,regular,AC,Willesden,Metroline,DD,,6.5,6.5,6.5,0.0,4.5,12.75,7.923
303,regular,BT,Edgware,First,SD,,4.0,4.0,4.0,0.0,3.0,11.286,7.013
304,regular,RR,River Road,Go-Ahead,DD,,5.0,5.0,5.0,0.0,4.0,8.326,5.174
306,regular,QB,Battersea,Transport UK,DD,,4.5,5.0,4.5,0.0,4.0,8.491,5.276
307,regular,E,Enfield,Arriva,DD,,6.0,5.5,6.5,0.0,3.0,15.329,9.525
308,regular,HO,Lea Interchange,Stagecoach London,DD,,5.0,5.0,5.0,0.0,3.0,14.442,8.974
309,regular,HK,Ash Grove,Stagecoach London,SD,,4.5,4.5,4.5,0.0,4.0,7.841,4.872
310,regular,HK,Ash Grove,Stagecoach London,SD,,3.0,3.0,3.0,0.0,3.0,11.743,7.297
312,regular,TC,Croydon,Arriva,DD,,5.0,5.0,5.0,0.0,3.0,12.915,8.025
313,regular,E,Enfield,Arriva,DD,313S,3.0,3.0,3.0,0.0,2.5,19.032,11.826
314,regular,TB,Bromley,Stagecoach London,SD,,5.0,5.0,5.0,0.0,3.0,22.681,14.093
315,regular,BC,Beddington,Transport UK,SD,,3.0,3.0,3.0,0.0,2.0,8.697,5.404
316,regular,WJ,Willesden Junction,Metroline,SD,,7.0,6.5,7.0,0.0,5.0,12.036,7.479
317,regular,PB,Potters Bar,Metroline,DD,,3.0,3.0,3.0,0.0,2.0,8.26,5.133
318,regular,NP,Northumberland Park,Go-Ahead,SD,,5.0,5.0,5.0,0.0,4.0,9.872,6.134
319,regular,BN,Brixton Hill,Arriva,DD,,5.5,6.0,6.5,0.0,4.5,11.95,7.426
320,regular,MB,Orpington,Go-Ahead,DD,,5.0,5.0,5.0,0.0,3.0,19.918,12.376
321,twentyfour,NX,New Cross,Go-Ahead,DD,,5.0,5.0,5.0,2.5,5.0,16.202,10.068
322,regular,QB,Battersea,Transport UK,SD,,4.5,4.0,4.0,0.0,4.0,10.66,6.624
323,regular,WH,West Ham,Stagecoach London,SD,,3.0,3.0,3.0,0.0,3.0,5.411,3.362
324,regular,W,Cricklewood,Metroline,SD,,3.0,3.0,3.0,0.0,3.0,17.203,10.69
325,regular,RR,River Road,Go-Ahead,SD,,5.0,5.0,5.0,0.0,3.0,12.932,8.036
326,regular,BT,Edgware,First,SD,,5.0,5.0,5.0,0.0,4.0,17.867,11.102
327,regular,PB,Potters Bar,Metroline,SD,,1.5,1.5,1.5,0.0,1.5,2.992,1.859
328,regular,W,Cricklewood,Metroline,DD,,6.5,6.0,6.0,0.0,5.0,12.91,8.022
329,regular,WN,Wood Green,Arriva,DD,,7.5,7.5,7.5,0.0,7.5,8.887,5.522
330,regular,DS,Henley Road,Go-Ahead,DD,,5.0,5.0,5.0,0.0,3.0,8.429,5.238
331,regular,UX,Uxbridge Industrial Estate,Metroline,SD,,3.0,3.0,3.0,0.0,2.0,21.807,13.55
333,regular,SW,Stockwell,Go-Ahead,DD,,5.5,5.0,5.0,0.0,5.0,11.673,7.253
335,regular,DT,Dartford,Arriva,DD,,5.0,5.0,5.0,0.0,4.0,8.469,5.263
336,regular,TB,Bromley,Stagecoach London,SD,,4.5,4.0,4.0,0.0,3.0,17.454,10.845
337,regular,QB,Battersea,Transport UK,DD,,5.0,4.5,4.5,0.0,4.5,11.009,6.841
339,regular,HO,Lea Interchange,Stagecoach London,SD,,4.0,4.0,4.0,0.0,3.0,13.521,8.401
340,regular,BT,Edgware,First,DD,,5.0,5.0,5.0,0.0,4.0,9.798,6.088
341,twentyfour,AR,Tottenham,Arriva,DD,,4.5,5.0,5.0,3.0,5.0,17.209,10.693
343,regular,NX,New Cross,Go-Ahead,DD,,8.0,7.5,7.5,0.0,5.0,13.237,8.225
344,twentyfour,QB,Battersea,Transport UK,DD,,6.0,6.5,6.5,3.5,6.5,11.456,7.118
345,twentyfour,QB,Battersea,Transport UK,DD,,6.5,6.5,6.5,2.0,4.5,14.522,9.024
346,regular,RM,Rainham,Stagecoach London,SD,,2.5,2.5,2.5,0.0,2.5,16.29,10.122
349,regular,AR,Tottenham,Arriva,DD,,6.0,6.0,6.0,0.0,5.0,9.365,5.819
350,regular,DH,Hayes,Transport UK,SD,,3.0,3.0,3.0,0.0,3.0,13.309,8.27
352,regular,SM,Sydenham,Go-Ahead,SD,,3.0,3.0,3.0,0.0,2.0,13.8,8.575
353,regular,MB,Orpington,Go-Ahead,DD,,3.5,3.0,3.0,0.0,2.0,16.854,10.473
354,regular,SM,Sydenham,Go-Ahead,SD,,3.0,3.0,3.0,0.0,2.5,10.97,6.817
355,regular,Q,Camberwell,Go-Ahead,SD,,5.0,5.0,5.0,0.0,4.0,10.895,6.77
356,regular,KB,Kangley Bridge Road,Stagecoach London,SD,,3.0,3.0,3.0,0.0,2.0,16.02,9.955
357,regular,NP,Northumberland Park,Go-Ahead,DD,,2.0,2.0,2.0,0.0,2.0,9.163,5.694
358,regular,MB,Orpington,Go-Ahead,SD,,5.0,5.0,5.0,0.0,3.0,24.965,15.512
359,regular,C,Croydon,Go-Ahead,SD,,1.5,1.5,1.5,0.0,1.5,10.311,6.407
360,regular,Q,Camberwell,Go-Ahead,SD,,5.0,5.0,5.0,0.0,4.5,9.846,6.118
362,regular,BK,Barking,Stagecoach London,SD,,1.5,1.5,2.0,0.0,2.0,12.474,7.751
363,regular,WL,Walworth,Transport UK,DD,,5.0,5.0,5.0,0.0,4.5,11.533,7.166
364,regular,RR,River Road,Go-Ahead,SD,,5.5,6.0,6.0,0.0,4.0,12.462,7.743
365,twentyfour,NS; RM,Rainham; Romford,Stagecoach London,DD,,5.0,5.0,5.0,2.0,3.0,15.521,9.644
366,regular,RR,River Road,Go-Ahead,SD,,6.5,6.0,6.0,0.0,4.0,20.081,12.477
367,regular,BC,Beddington,Transport UK,SD,,3.0,3.0,3.0,0.0,2.0,19.403,12.056
368,regular,RR,River Road,Go-Ahead,DD,,5.0,5.0,5.0,0.0,3.0,9.939,6.176
370,regular,GY,Grays,Arriva,DD,,5.5,5.0,5.0,0.0,4.0,20.313,12.622
371,regular,FW,Fulwell,First,SD,,5.5,6.5,6.5,0.0,5.0,12.821,7.967
372,regular,RM,Rainham,Stagecoach London,DD,,3.0,3.0,3.0,0.0,3.0,18.456,11.468
375,regular,GY,Grays,Arriva,SD,,0.5,1.0,0.5,0.0,0.5,12.179,7.568
376,regular,DS,Henley Road,Go-Ahead,SD,,4.5,4.5,4.5,0.0,2.0,10.127,6.293
377,regular,E,Enfield,Arriva,SD,,2.0,2.0,2.0,0.0,2.0,9.689,6.02
378,regular,SW,Stockwell,Go-Ahead,SD,,4.0,4.0,4.0,0.0,4.0,4.522,2.81
379,regular,AW,Walthamstow Avenue,Stagecoach London,SD,,3.0,3.0,4.0,0.0,2.0,3.623,2.251
380,regular,PD,Plumstead,Stagecoach London,SD,,5.0,5.5,5.0,0.0,4.0,14.858,9.232
381,regular,WL,Walworth,Transport UK,DD,,5.0,4.5,4.5,0.0,4.5,14.471,8.992
382,regular,PB,Potters Bar,Metroline,SD,,4.0,4.0,4.0,0.0,2.0,14.007,8.704
383,regular,UB,Hatfield,Uno,SD,,2.0,2.0,2.0,0.0,2.0,12.73,7.91
384,regular,PB,Potters Bar,Metroline,SD,,3.0,3.0,3.0,0.0,2.0,16.268,10.108
385,regular,AW,Walthamstow Avenue,Stagecoach London,SD,,0.0,0.5,1.0,0.0,1.0,7.097,4.41
386,regular,MG,Morden Wharf (Greenwich),Go-Ahead,SD,,3.5,3.5,3.5,0.0,3.5,15.92,9.892
388,regular,HK,Ash Grove,Stagecoach London,DD,,5.0,5.0,5.0,0.0,5.0,10.012,6.221
389,regular,NP,Northumberland Park,Go-Ahead,SD,,0.0,0.0,1.0,0.0,1.0,2.61,1.622
390,twentyfour,HT,Holloway,Metroline,DD,,6.5,6.0,6.0,3.0,6.0,11.566,7.187
393,regular,HT,Holloway,Metroline,SD,,5.0,5.0,5.0,0.0,4.5,13.549,8.419
394,regular,HK,Ash Grove,Stagecoach London,SD,,4.0,4.0,4.0,0.0,4.0,8.231,5.114
395,regular,SO,Harrow,First,SD,,3.0,3.0,3.0,0.0,2.0,9.411,5.848
396,regular,RR,River Road,Go-Ahead,SD,,3.0,3.0,3.0,0.0,3.0,7.275,4.521
397,regular,AW,Walthamstow Avenue,Stagecoach London,SD,,3.0,2.0,2.0,0.0,2.0,15.649,9.724
398,regular,SO,Harrow,First,SD,,2.0,2.0,2.0,0.0,2.0,10.216,6.348
399,regular,NP,Northumberland Park,Go-Ahead,SD,,0.0,0.0,1.0,0.0,1.0,4.85,3.014
401,regular,BX,Bexleyheath,Go-Ahead,DD,,4.5,4.0,4.0,0.0,2.0,12.579,7.816
403,regular,C,Croydon,Go-Ahead,DD,,5.0,5.0,5.0,0.0,3.0,10.248,6.368
404,regular,BC,Beddington,Transport UK,SD,,2.0,2.0,2.0,0.0,2.0,13.582,8.44
405,regular,TC,Croydon,Arriva,DD,,4.0,4.0,4.0,0.0,3.0,17.663,10.975
406,regular,TV,Tolworth,First,DD,,2.5,2.5,3.0,0.0,2.5,11.403,7.086
407,regular,BC,Beddington,Transport UK,DD,,5.0,5.0,5.0,0.0,3.0,22.056,13.705
410,regular,N; TH,Norwood; Thornton Heath,Arriva,SD,,6.5,5.5,6.0,0.0,4.0,15.448,9.599
411,regular,TV,Tolworth,First,DD,,4.0,4.0,3.0,0.0,2.0,7.012,4.357
412,regular,TC,Croydon,Arriva,DD,,3.0,3.0,3.0,0.0,2.0,10.619,6.598
413,regular,AL,Merton,Go-Ahead,SD,,4.0,4.0,4.0,0.0,2.0,10.453,6.495
415,regular,QB,Battersea,Transport UK,DD,,5.0,5.0,5.0,0.0,3.0,8.643,5.371
417,regular,BN,Brixton Hill,Arriva,DD,,5.0,5.0,5.0,0.0,4.0,9.078,5.641
418,regular,TV,Tolworth,First,DD,,2.5,2.5,3.0,0.0,2.5,11.979,7.444
419,regular,AV,Hounslow,First,SD,,5.0,5.0,5.0,0.0,4.0,12.386,7.696
422,regular,PD,Plumstead,Stagecoach London,DD,,5.5,5.5,6.0,0.0,5.0,18.716,11.63
423,regular,WK,Hounslow Heath,First,DD,,3.0,3.0,3.0,0.0,2.0,15.289,9.5
424,regular,SW,Stockwell,Go-Ahead,SD,,1.5,2.0,1.5,0.0,1.5,12.136,7.541
425,regular,BW,Bow,Stagecoach London,DD,,5.0,5.0,5.0,0.0,4.5,15.523,9.645
427,regular,GW,Southall,Transport UK,DD,,6.5,6.5,6.5,0.0,5.5,11.029,6.853
428,regular,DT,Dartford,Arriva,DD,,4.0,4.0,4.0,0.0,2.0,15.719,9.767
430,regular,AF,Putney,Go-Ahead,DD,,5.0,4.5,4.5,0.0,4.5,10.89,6.767
432,regular,N,Norwood,Arriva,DD,,5.0,5.0,5.0,0.0,4.0,8.119,5.045
433,regular,BC,Beddington,Transport UK,SD,,6.0,6.0,6.0,0.0,3.0,10.2,6.338
434,regular,C,Croydon,Go-Ahead,SD,,2.0,2.0,2.0,0.0,2.0,15.403,9.571
436,regular,NX,New Cross,Go-Ahead,DD,,4.5,4.5,4.5,0.0,4.5,11.956,7.429
439,regular,C,Croydon,Go-Ahead,SD,,2.0,1.5,2.0,0.0,1.5,10.696,6.646
440,regular,V,Stamford Brook,First,SD,,4.0,4.0,4.0,0.0,4.0,14.382,8.936
444,regular,NP,Northumberland Park,Go-Ahead,SD,,5.0,5.0,5.0,0.0,4.0,12.47,7.748
450,regular,C,Croydon,Go-Ahead,SD,,6.0,6.0,6.0,0.0,4.0,13.689,8.506
452,regular,X,Westbourne Park,First,DD,,5.0,5.0,5.0,0.0,5.0,10.405,6.465
453,twentyfour,NX,New Cross,Go-Ahead,DD,,7.5,7.5,7.5,2.5,6.0,13.373,8.31
456,regular,NP,Northumberland Park,Go-Ahead,SD,,2.0,2.0,2.0,0.0,1.0,16.133,10.025
460,regular,AC,Willesden,Metroline,DD,,5.0,5.0,5.0,0.0,4.0,10.13,6.294
462,regular,BK,Barking,Stagecoach London,SD,,4.0,4.0,4.0,0.0,2.0,13.488,8.381
463,regular,C,Croydon,Go-Ahead,SD,,3.0,3.0,3.0,0.0,2.0,21.677,13.47
464,regular,BC,Beddington,Transport UK,SD,,2.0,2.0,2.0,0.0,1.0,9.882,6.141
465,regular,TF,Fulwell (Twickenham),Transport UK,SD,,2.0,1.5,2.0,0.0,1.5,26.867,16.694
466,regular,TC,Croydon,Arriva,DD,466S,7.5,8.0,7.5,0.0,5.0,19.312,12.0
467,regular,TV,Tolworth,First,DD,,1.5,1.0,1.0,0.0,1.0,9.565,5.944
468,regular,N,Norwood,Arriva,DD,,7.0,6.5,6.5,0.0,4.0,17.972,11.167
469,regular,MG,Morden Wharf (Greenwich),Go-Ahead,SD,,4.0,4.0,4.0,0.0,3.0,16.206,10.07
470,regular,GM,Ellis Road,Go-Ahead,SD,,2.0,2.0,2.0,0.0,2.0,10.177,6.323
472,unknown,,,,,,6.5,6.5,6.5,0.0,5.0,,
473,regular,DS,Henley Road,Go-Ahead,DD,,5.5,5.5,5.5,0.0,4.0,9.322,5.792
474,twentyfour,DS,Henley Road,Go-Ahead,DD,,5.0,5.0,5.0,2.5,4.0,15.361,9.545
476,regular,NP,Northumberland Park,Go-Ahead,DD,,5.5,6.0,6.0,0.0,5.0,11.861,7.37
481,regular,AH; TF,Brentford; Fulwell (Twickenham),Metroline; Transport UK,DD,481D,2.0,2.0,2.0,0.0,1.5,13.833,8.595
482,regular,GW,Southall,Transport UK,DD,,3.0,3.0,3.0,0.0,3.0,17.735,11.02
483,regular,PV,Perivale [East],Metroline,DD,,5.5,5.5,5.5,0.0,5.0,16.794,10.435
484,regular,Q,Camberwell,Go-Ahead,SD,,5.0,5.0,5.0,0.0,4.0,10.898,6.771
485,regular,QB,Battersea,Transport UK,SD,,1.5,2.0,2.0,0.0,2.0,8.131,5.053
486,twentyfour,BX,Bexleyheath,Go-Ahead,DD,,5.0,5.5,5.5,3.0,4.0,14.893,9.254
487,regular,WJ,Willesden Junction,Metroline,SD,,4.5,4.5,4.5,0.0,3.0,14.335,8.907
488,regular,HO,Lea Interchange,Stagecoach London,SD,,4.0,4.0,4.0,0.0,3.0,9.598,5.964
490,regular,TF,Fulwell (Twickenham),Transport UK,SD,,5.0,5.0,5.0,0.0,3.0,21.218,13.184
491,regular,PB,Potters Bar,Metroline,SD,,3.0,3.0,3.0,0.0,3.0,16.171,10.048
492,regular,DT,Dartford,Arriva,DD,,2.0,2.0,2.0,0.0,2.0,23.125,14.369
493,regular,AL,Merton,Go-Ahead,SD,,4.5,4.5,4.5,0.0,3.0,19.4,12.054
496,regular,RM,Rainham,Stagecoach London,DD,,3.5,3.5,3.5,0.0,3.0,12.878,8.002
498,regular,NS,Romford,Stagecoach London,DD,,2.5,3.0,2.5,0.0,2.5,11.752,7.302
499,regular,RM,Rainham,Stagecoach London,SD,,2.5,2.5,2.5,0.0,2.5,17.462,10.85
533,regular,SW,Stockwell,Go-Ahead,SD,,4.0,4.0,4.0,0.0,4.0,9.141,5.68
601,school,MG,Morden Wharf (Greenwich),Go-Ahead,DD,,,,,,0.0,18.257,11.344
602,school,PD,Plumstead,Stagecoach London,DD,,,,,,0.0,14.84,9.221
603,school,HT,Holloway,Metroline,DD,,,,,,0.0,9.169,5.697
606,school,EW,Edgware,Metroline,DD,,,,,,0.0,15.486,9.623
608,school,RR,River Road,Go-Ahead,DD,,,,,,0.0,11.664,7.248
612,school,TH,Thornton Heath,Arriva,DD,,,,,,0.0,10.722,6.662
613,school,TV,Tolworth,First,DD,,,,,,0.0,13.03,8.097
616,school,T,Leyton,Stagecoach London,DD,,,,,,0.0,11.142,6.923
617,school,PB,Potters Bar,Metroline,DD,,,,,,0.0,10.693,6.644
618,school,GW,Southall,Transport UK,DD,,,,,,0.0,7.093,4.408
621,school,TL,Catford,Stagecoach London,DD,,,,,,0.0,8.368,5.2
624,school,MG,Morden Wharf (Greenwich),Go-Ahead,DD,,,,,,0.0,9.131,5.674
625,school,MG,Morden Wharf (Greenwich),Go-Ahead,DD,,,,,,0.0,11.473,7.129
626,school,PB,Potters Bar,Metroline,DD,,,,,,0.0,18.021,11.198
627,school,N,Norwood,Arriva,DD,,,,,,0.0,10.322,6.414
628,school,UB,Hatfield,Uno,DD,,,,,,0.0,18.537,11.519
629,school,PB,Potters Bar,Metroline,DD,,,,,,0.0,11.786,7.323
631,school,W,Cricklewood,Metroline,SD,,,,,,0.0,1.857,1.154
632,school,W,Cricklewood,Metroline,DD,,,,,,0.0,10.472,6.507
633,school,C,Croydon,Go-Ahead,DD,,,,,,0.0,19.699,12.24
634,school,PB,Potters Bar,Metroline,DD,,,,,,0.0,9.648,5.995
635,school,SG,Lampton,Metroline,DD,,,,,,0.0,10.861,6.749
638,school,TB,Bromley,Stagecoach London,DD,,,,,,0.0,17.036,10.586
639,school,QB,Battersea,Transport UK,DD,,,,,,0.0,12.459,7.742
640,school,G,Greenford,Metroline,DD,,,,,,0.0,8.436,5.242
642,school,EW,Edgware,Metroline,DD,,,,,,0.0,10.203,6.34
643,school,UB,Hatfield,Uno,DD,,,,,,0.0,5.778,3.59
645,school,TC,Croydon,Arriva,DD,,,,,,0.0,7.527,4.677
646,school,RR,River Road,Go-Ahead,SD,,,,,,0.0,14.009,8.705
649,school,WH,West Ham,Stagecoach London,DD,,,,,,0.0,8.864,5.508
650,school,WH,West Ham,Stagecoach London,DD,,,,,,0.0,7.801,4.848
651,school,WH,West Ham,Stagecoach London,DD,,,,,,0.0,9.539,5.927
652,school,RR,River Road,Go-Ahead,DD,,,,,,0.0,12.205,7.584
653,school,UB,Hatfield,Uno,DD,,,,,,0.0,12.55,7.798
655,school,BC,Beddington,Transport UK,DD,,,,,,0.0,7.09,4.405
656,school,RR,River Road,Go-Ahead,DD,,,,,,0.0,8.976,5.578
657,school,T,Leyton,Stagecoach London,DD,,,,,,0.0,6.828,4.243
658,school,MG,Morden Wharf (Greenwich),Go-Ahead,DD,,,,,,0.0,9.495,5.9
660,school,TL,Catford,Stagecoach London,DD,,,,,,0.0,9.3,5.779
661,school,TL,Catford,Stagecoach London,DD,,,,,,0.0,7.277,4.522
662,school,TV,Tolworth,First,DD,,,,,,0.0,6.661,4.139
663,school,TH,Thornton Heath,Arriva,DD,,,,,,0.0,6.61,4.107
664,school,MB,Orpington,Go-Ahead,DD,,,,,,0.0,19.916,12.375
665,school,TV,Tolworth,First,SD,,,,,,0.0,7.89,4.902
667,school,BK; WH,Barking; West Ham,Stagecoach London,DD,,,,,,0.0,9.428,5.858
669,school,PD,Plumstead,Stagecoach London,DD,,,,,,0.0,18.509,11.501
670,school,QB,Battersea,Transport UK,DD,,,,,,0.0,10.03,6.232
671,school,TF,Fulwell (Twickenham),Transport UK,DD,,,,,,0.0,10.786,6.702
672,school,PD,Plumstead,Stagecoach London,DD,,,,,,0.0,4.576,2.844
674,school,RM,Rainham,Stagecoach London,DD,,,,,,0.0,8.75,5.437
675,school,AD,Palmers Green,Arriva,DD,,,,,,0.0,12.864,7.994
677,school,NP,Northumberland Park,Go-Ahead,DD,,,,,,0.0,20.526,12.754
678,school,HO,Lea Interchange,Stagecoach London,DD,,,,,,0.0,9.928,6.169
679,school,RR,River Road,Go-Ahead,DD,,,,,,0.0,13.09,8.134
681,school,FW,Fulwell,First,DD,,,,,,0.0,11.464,7.124
683,school,UB,Hatfield,Uno,DD,,,,,,0.0,11.849,7.363
684,school,TB,Bromley,Stagecoach London,DD,,,,,,0.0,15.095,9.38
685,school,TC,Croydon,Arriva,DD,,,,,,0.0,3.546,2.203
686,school,RR,River Road,Go-Ahead,DD,,,,,,0.0,6.366,3.956
687,school,RR,River Road,Go-Ahead,DD,,,,,,0.0,7.631,4.742
688,school,UB,Hatfield,Uno,DD,,,,,,0.0,19.644,12.206
689,school,TH,Thornton Heath,Arriva,DD,,,,,,0.0,6.87,4.269
690,school,SW,Stockwell,Go-Ahead,DD,,,,,,0.0,11.579,7.195
695,school,AV,Hounslow,First,DD,,,,,,0.0,9.358,5.815
696,school,AV,Hounslow,First,DD,,,,,,0.0,20.156,12.524
697,school,UX,Uxbridge Industrial Estate,Metroline,DD,,,,,,0.0,11.052,6.867
698,school,AV,Hounslow,First,DD,,,,,,0.0,11.344,7.049
699,school,UB,Hatfield,Uno,DD,,,,,,0.0,14.557,9.045
969,school,TF,Fulwell (Twickenham),Transport UK,SD,,,,,,0.0,18.619,11.569
A10,regular,UX,Uxbridge Industrial Estate,Metroline,SD,,3.0,3.0,3.0,0.0,2.0,12.712,7.899
B11,regular,BX,Bexleyheath,Go-Ahead,SD,,4.0,4.0,4.0,0.0,2.0,11.749,7.3
B12,regular,BX,Bexleyheath,Go-Ahead,SD,,3.5,3.0,3.0,0.0,2.0,18.078,11.233
B13,regular,BX,Bexleyheath,Go-Ahead,SD,,3.0,3.0,3.0,0.0,2.5,9.052,5.625
B14,regular,TB,Bromley,Stagecoach London,SD,,2.0,1.5,2.0,0.0,2.0,22.099,13.732
B15,regular,BX,Bexleyheath,Go-Ahead,SD,,3.0,3.0,3.0,0.0,2.5,12.96,8.053
B16,regular,BX,Bexleyheath,Go-Ahead,SD,,4.0,4.0,4.0,0.0,2.0,14.468,8.99
BL1,regular,RA,Waterloo,Go-Ahead,DD,,5.0,5.0,5.0,0.0,4.5,9.289,5.772
C1,regular,S,Shepherd's Bush,First,SD,,5.0,5.0,5.0,0.0,5.0,9.642,5.992
C3,regular,QB,Battersea,Transport UK,DD,,5.5,5.5,5.5,0.0,4.0,6.725,4.179
C10,regular,WL,Walworth,Transport UK,SD,,7.0,6.5,6.5,0.0,4.5,14.654,9.106
C11,regular,HT,Holloway,Metroline,SD,,6.5,6.0,6.0,0.0,5.0,13.13,8.159
D3,regular,DS,Henley Road,Go-Ahead,SD,,4.0,4.0,4.0,0.0,3.0,10.838,6.734
D6,regular,HK,Ash Grove,Stagecoach London,DD,,6.0,6.5,6.5,0.0,4.0,8.019,4.983
D7,regular,HK,Ash Grove,Stagecoach London,DD,,5.0,5.0,5.0,0.0,4.0,9.464,5.881
D8,regular,HO,Lea Interchange,Stagecoach London,DD,,4.0,4.0,4.0,0.0,3.0,8.796,5.465
E1,regular,G,Greenford,Metroline,DD,,6.0,6.0,6.0,0.0,6.0,4.996,3.105
E2,regular,AH,Brentford,Metroline,DD,,6.5,6.5,6.5,0.0,5.5,10.609,6.592
E3,regular,V,Stamford Brook,First,DD,,7.0,6.0,7.0,0.0,6.0,14.728,9.152
E5,regular,GW,Southall,Transport UK,SD,,5.0,5.0,5.0,0.0,3.0,11.455,7.118
E6,regular,DH,Hayes,Transport UK,SD,,4.5,4.0,4.5,0.0,4.5,13.433,8.347
E7,regular,GW,Southall,Transport UK,SD,,4.5,4.5,4.5,0.0,3.0,14.603,9.074
E8,regular,AH,Brentford,Metroline,DD,,6.0,6.5,6.5,0.0,5.5,11.464,7.123
E9,regular,G,Greenford,Metroline,DD,,5.0,5.0,5.0,0.0,3.0,10.081,6.264
E10,regular,GW,Southall,Transport UK,SD,,3.5,4.0,3.5,0.0,3.0,11.321,7.035
E11,regular,GW,Southall,Transport UK,SD,,3.0,3.0,3.0,0.0,2.0,8.052,5.003
EL1,twentyfour,RR,River Road,Go-Ahead,DD,,11.0,11.0,11.0,2.0,6.0,9.129,5.673
EL2,regular,RR,River Road,Go-Ahead,DD,,7.5,7.5,7.5,0.0,4.0,12.146,7.547
EL3,regular,RR,River Road,Go-Ahead,DD,,6.5,6.0,6.0,0.0,3.0,13.558,8.425
G1,regular,QB,Battersea,Transport UK,SD,,3.0,3.0,3.0,0.0,3.0,17.694,10.994
H2,regular,W,Cricklewood,Metroline,SD,,5.0,5.0,5.0,0.0,3.0,7.553,4.693
H3,regular,W,Cricklewood,Metroline,SD,,0.5,0.0,1.0,0.0,1.0,9.721,6.04
H9,regular,SO,Harrow,First,SD,,5.5,6.0,6.0,0.0,4.0,17.38,10.8
H10,regular,SO,Harrow,First,SD,,6.0,6.0,6.0,0.0,4.0,16.989,10.556
H11,regular,BT,Edgware,First,SD,,4.0,4.0,4.0,0.0,3.0,11.045,6.863
H12,regular,BT,Edgware,First,DD,,6.0,6.0,6.0,0.0,5.0,14.479,8.997
