route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,additional_journeys,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
135,regular,HO,Lea Interchange,Stagecoach London,DD,Moorfields Eye Hospital,Crossharbour,,Isle of Dogs Asda,Moorfields Eye Hospital,"Crossharbour, Isle of Dogs Asda",,6.0,5.5,6.0,0.0,4.0,13.563,8.427
136,regular,TL,Catford,Stagecoach London,DD,Elephant & Castle,Grove Park,Elephant & Castle / Newington Causeway,Grove Park Station,Elephant & Castle,Grove Park,,6.0,6.5,6.0,0.0,5.0,16.926,10.517
137,regular,BN,Brixton Hill,Arriva,DD,Marble Arch,"Streatham Hill, Telford Avenue",Marble Arch Station / Park Lane,,Marble Arch,"Streatham Hill, Telford Avenue",,10.0,9.0,9.0,0.0,7.5,12.728,7.909
138,regular,TL,Catford,Stagecoach London,SD,Coney Hall,Bromley North,Chestnut Avenue,Bromley North Station,"Coney Hall, Chestnut Avenue",Bromley North,,2.0,2.0,2.0,0.0,2.0,7.805,4.85
139,twentyfour,W,Cricklewood,Metroline,DD,Waterloo,Golders Green,Waterloo Station / Waterloo Road,Golders Green Station,Waterloo,Golders Green,,6.0,6.0,6.0,2.5,5.5,12.499,7.766
140,regular,HD,Harrow Weald,Metroline,DD,Long Elmes,Hayes & Harlington Station,,,Long Elmes,Hayes & Harlington Station,,7.5,7.0,8.0,0.0,5.0,15.605,9.697
141,regular,AD; WN,Palmers Green; Wood Green,Arriva,DD,London Bridge,Tottenhall Road,London Bridge Station,,London Bridge,Tottenhall Road,,10.0,9.0,9.0,0.0,6.0,13.07,8.121
142,regular,EW,Edgware,Metroline,DD,"Brent Cross, Shopping Centre",Watford Junction,,Watford Junction Station,"Brent Cross, Shopping Centre",Watford Junction,,5.0,5.0,5.0,0.0,4.0,20.212,12.559
143,regular,W,Cricklewood,Metroline,SD,Archway,"Brent Cross, Shopping Centre",Archway Station,,Archway,"Brent Cross, Shopping Centre",,5.0,5.0,5.0,0.0,4.0,12.745,7.919
144,regular,NP,Northumberland Park,Go-Ahead,DD,Edmonton Green,Muswell Hill,Edmonton Green Bus Station,Muswell Hill Broadway,Edmonton Green,Muswell Hill,,6.5,6.0,6.0,0.0,6.0,10.784,6.701
145,regular,BK,Barking,Stagecoach London,DD,Leytonstone,"Dagenham, Asda",Leytonstone Station,,Leytonstone,"Dagenham, Asda",,4.5,4.5,4.5,0.0,4.0,19.61,12.185
146,regular,TB,Bromley,Stagecoach London,SD,Downe,Bromley North,Downe Church,Bromley North Station,Downe,Bromley North,,1.0,1.0,1.0,0.0,1.0,10.067,6.255
147,regular,RR,River Road,Go-Ahead,DD,Canning Town,Ilford,Canning Town Station,Hainault Street,Canning Town,"Ilford, Hainault Street",,7.5,7.5,7.5,0.0,5.5,10.883,6.763
148,twentyfour,S,Shepherd's Bush,First,DD,White City,Camberwell Green,White City Bus Station,Denmark Hill / Camberwell Green,White City,Camberwell Green,,4.5,5.0,5.0,3.0,5.0,14.262,8.862
149,twentyfour,AR,Tottenham,Arriva,DD,London Bridge,Edmonton Green,London Bridge Bus Station,Edmonton Green Bus Station,London Bridge,Edmonton Green,,8.5,8.5,7.5,2.5,6.0,14.189,8.817
150,regular,DX,Barking,Arriva,DD,Chigwell Row,Becontree Heath,Lambourne Road,Becontree Heath Leisure Centre,"Chigwell Row, Lambourne Road",Becontree Heath,,5.5,5.0,5.0,0.0,3.0,15.204,9.447
151,regular,A,Sutton,Go-Ahead,DD,Worcester Park,Wallington,Worcester Park Station,Shotfield,Worcester Park,"Wallington, Shotfield",,5.0,5.5,5.5,0.0,3.0,15.077,9.369
152,regular,AL,Merton,Go-Ahead,SD,Walton Avenue,Pollards Hill,,South Lodge Avenue / Yorkshire Road,Walton Avenue,"Pollards Hill, South Lodge Avenue / Yorkshire Road",,5.0,5.0,5.0,0.0,3.0,12.902,8.017
153,regular,HT,Holloway,Metroline,SD,Liverpool Street,Finsbury Park Station,Liverpool Street Station,Finsbury Park Interchange,Liverpool Street,"Finsbury Park Station, Finsbury Park Interchange",,4.5,4.0,4.0,0.0,4.0,8.761,5.444
154,regular,A,Sutton,Go-Ahead,DD,Morden,West Croydon,Morden Station,West Croydon Bus Station,Morden,West Croydon,,5.5,5.5,5.5,0.0,4.0,17.009,10.569
155,regular,SW,Stockwell,Go-Ahead,DD,Elephant & Castle,"Tooting, St. George's Hospital",Lambeth Road,St George's Hospital,"Elephant & Castle, Lambeth Road","Tooting, St. George's Hospital",,7.5,7.0,7.0,0.0,5.0,10.558,6.56
156,regular,QB,Battersea,Transport UK,DD,Vauxhall,Wimbledon,Vauxhall Bus Station,Wimbledon Station,Vauxhall,Wimbledon,,5.5,5.5,5.5,0.0,5.0,12.27,7.624
157,regular,AL,Merton,Go-Ahead,DD,Morden,Crystal Palace,Morden Station,Crystal Palace Parade,Morden,Crystal Palace,,5.0,5.0,5.0,0.0,4.0,18.983,11.795
158,twentyfour,EC,Edmonton,Arriva,DD,Stratford,Chingford Mount,Stratford Bus Station,,Stratford,Chingford Mount,,10.0,9.0,10.0,2.5,6.0,11.734,7.291
159,twentyfour,QB,Battersea,Transport UK,DD,Oxford Circus,Streatham Station,Oxford Circus Station,,Oxford Circus,Streatham Station,,6.5,6.0,6.0,3.0,5.0,11.83,7.351
160,regular,TL,Catford,Stagecoach London,DD,Sidcup Station,Catford Bridge,,Catford Bridge Station,Sidcup Station,Catford Bridge,,4.0,4.0,4.0,0.0,3.0,17.714,11.007
161,regular,PD,Plumstead,Stagecoach London,DD,North Greenwich,Chislehurst,North Greenwich Station,Chislehurst War Memorial,North Greenwich,Chislehurst,,5.0,5.5,5.0,0.0,5.0,17.557,10.909
162,regular,SM,Sydenham,Go-Ahead,SD,Eltham Station,Beckenham Junction,Eltham Bus Station,Beckenham Junction Stn / Rectory Rd,"Eltham Station, Eltham Bus Station",Beckenham Junction,,4.5,4.0,4.0,0.0,3.0,20.156,12.524
163,regular,AL,Merton,Go-Ahead,SD,Wimbledon,Morden,Francis Grove,Morden Station,"Wimbledon, Francis Grove",Morden,163S,6.5,6.0,6.5,0.0,5.0,8.235,5.117
164,regular,AL,Merton,Go-Ahead,SD,Wimbledon,Sutton Station,Francis Grove,Sutton Station / the Quadrant,"Wimbledon, Francis Grove",Sutton Station,,6.0,6.0,6.0,0.0,4.0,10.749,6.679
165,regular,RM,Rainham,Stagecoach London,SD,"Rainham, Abbey Wood Lane","Romford, The Brewery",Abbey Wood Lane,The Brewery,"Rainham, Abbey Wood Lane","Romford, The Brewery",,5.0,5.0,5.0,0.0,3.0,17.445,10.84
166,regular,TC,Croydon,Arriva,SD,West Croydon,Epsom Hospital,West Croydon Bus Station,,West Croydon,Epsom Hospital,166X,3.0,3.0,3.0,0.0,2.5,25.823,16.045
167,regular,BK,Barking,Stagecoach London,SD,Loughton,Ilford,Loughton Station,Hainault Street,Loughton,"Ilford, Hainault Street",,3.0,3.0,3.0,0.0,2.0,13.862,8.614
169,regular,BK,Barking,Stagecoach London,DD,Barking Town Centre,"Clayhall, The Glade",,,Barking Town Centre,"Clayhall, The Glade",,5.5,5.5,6.0,0.0,4.0,10.231,6.357
170,regular,SW,Stockwell,Go-Ahead,SD,Victoria,Minstead Gardens,Victoria Station,,Victoria,Minstead Gardens,,5.5,5.5,5.5,0.0,5.0,13.493,8.384
171,regular,NX,New Cross,Go-Ahead,DD,Elephant & Castle,Catford Garage,Lambeth Road,,"Elephant & Castle, Lambeth Road",Catford Garage,,5.0,4.5,4.5,0.0,4.5,14.293,8.881
172,regular,NX,New Cross,Go-Ahead,DD,Aldwych,Brockley Rise,Aldwych / Drury Lane,Brockley Rise / Chandos,Aldwych,Brockley Rise,,6.5,6.0,6.0,0.0,4.0,11.333,7.042
173,regular,BK,Barking,Stagecoach London,DD,King George Hospital,Beckton Station,,Beckton Bus Station,King George Hospital,"Beckton Station, Beckton Bus Station",,5.0,4.5,5.0,0.0,4.5,17.166,10.666
174,regular,RM,Rainham,Stagecoach London,DD,"Dagenham, Marsh Way","Harold Hill, Dagnam Park Square",C E M E,Dagnam Park Square,"Dagenham, Marsh Way, C E M E","Harold Hill, Dagnam Park Square",,8.5,8.0,7.5,0.0,5.0,19.31,11.998
175,regular,DX,Barking,Arriva,DD,Oval Road South,Hillrise Estate,,,Oval Road South,Hillrise Estate,,6.0,6.5,6.0,0.0,4.0,14.657,9.108
176,twentyfour,Q,Camberwell,Go-Ahead,DD,Tottenham Court Road,Penge,Tottenham Ct Rd Stn / Gt Russell St,Penge / Pawleyne Arms,"Tottenham Court Road, Tottenham Ct Rd Stn / Gt Russell St",Penge,,6.0,6.0,6.0,3.0,6.0,15.907,9.884
177,regular,PD,Plumstead,Stagecoach London,DD,Peckham,Thamesmead,Peckham Bus Station,Thamesmead Town Centre,Peckham,Thamesmead,,5.5,5.5,5.5,0.0,5.0,18.996,11.803
178,regular,MG,Morden Wharf (Greenwich),Go-Ahead,DD,Lewisham,Woolwich,Lewisham Station,Thomas Street,Lewisham,"Woolwich, Thomas Street",,3.0,3.0,3.0,0.0,3.0,11.065,6.876
179,regular,BK,Barking,Stagecoach London,DD,Ilford,Chingford Station,Hainault Street,,"Ilford, Hainault Street",Chingford Station,,5.0,5.0,5.0,0.0,3.0,13.685,8.504
180,regular,PD,Plumstead,Stagecoach London,DD,North Greenwich,"Erith, Fraser Road",North Greenwich Station,Erith Quarry / Fraser Road,North Greenwich,"Erith, Fraser Road, Erith Quarry / Fraser Road",,5.5,5.5,5.5,0.0,4.0,19.002,11.807
181,regular,KB,Kangley Bridge Road,Stagecoach London,SD,Grove Park,"Lewisham, Shopping Centre",Grove Park Station,Lewisham Station,Grove Park,"Lewisham, Shopping Centre, Lewisham Station",,5.0,5.0,5.0,0.0,4.0,13.001,8.079
182,regular,HD,Harrow Weald,Metroline,DD,"Brent Cross, Shopping Centre",Bannister Playing Fields,,,"Brent Cross, Shopping Centre",Bannister Playing Fields,,7.0,6.5,7.0,0.0,6.0,19.742,12.267
183,regular,SO,Harrow,First,DD,Pinner,Golders Green,Pinner Station / Bridge Street,Golders Green Station,Pinner,Golders Green,,6.0,6.0,6.0,0.0,5.0,17.394,10.808
184,regular,NP,Northumberland Park,Go-Ahead,SD,"Barnet, Chesterfield Road",Turnpike Lane Station,Chesterfield Road,,"Barnet, Chesterfield Road",Turnpike Lane Station,,6.0,5.5,6.0,0.0,5.0,16.153,10.037
185,regular,Q,Camberwell,Go-Ahead,DD,Victoria,"Lewisham, Shopping Centre",Victoria Station,Lewisham Station,Victoria,"Lewisham, Shopping Centre, Lewisham Station",,6.5,7.0,7.0,0.0,5.0,15.698,9.754
186,regular,HD,Harrow Weald,Metroline,DD,"Brent Cross, Shopping Centre",Northwick Park Hospital,,Northwick Park Hospital Social Club,"Brent Cross, Shopping Centre",Northwick Park Hospital,,5.0,5.0,5.0,0.0,4.0,19.99,12.421
187,regular,WJ,Willesden Junction,Metroline,SD,"Finchley Road, O2 Centre",Central Middlesex Hospital,O2 Centre / Sainsbury's,,"Finchley Road, O2 Centre, O2 Centre / Sainsbury's",Central Middlesex Hospital,,4.0,4.0,4.0,0.0,3.0,12.81,7.96
188,twentyfour,Q,Camberwell,Go-Ahead,DD,Tottenham Court Road,North Greenwich,,North Greenwich Station,Tottenham Court Road,North Greenwich,,6.5,6.0,6.0,3.5,5.0,16.13,10.023
189,twentyfour,W,Cricklewood,Metroline,DD,Marble Arch,"Brent Cross, Shopping Centre",Marble Arch Station,,Marble Arch,"Brent Cross, Shopping Centre",,6.5,6.5,6.0,2.0,5.0,11.984,7.447
190,regular,AH,Brentford,Metroline,SD,West Brompton,Richmond,Empress State Building / W Brompton Stn,Richmond Bus Station,"West Brompton, Empress State Building / W Brompton Stn",Richmond,,4.0,4.0,4.0,0.0,3.0,10.775,6.695
191,regular,E,Enfield,Arriva,DD,Brimsdown,Edmonton Green,Brimsdown Station,Edmonton Green Bus Station,Brimsdown,Edmonton Green,,6.5,6.0,6.5,0.0,4.0,15.825,9.833
192,regular,E,Enfield,Arriva,SD,Tottenham Hale,Enfield,Tottenham Hale Station,Little Park Gardens,Tottenham Hale,"Enfield, Little Park Gardens",,6.0,6.5,6.0,0.0,5.0,13.136,8.162
193,regular,NS,Romford,Stagecoach London,SD,County Park Estate,"Romford, Queen's Hospital",Essex Gardens,Queen's Hospital,"County Park Estate, Essex Gardens","Romford, Queen's Hospital",,5.5,6.0,6.0,0.0,3.0,12.797,7.952
194,regular,TC,Croydon,Arriva,DD,West Croydon,Lower Sydenham,West Croydon Bus Station,Bell Green / Sainsbury's,West Croydon,"Lower Sydenham, Bell Green / Sainsbury's",,5.0,5.0,5.0,0.0,3.0,18.484,11.486
195,regular,GW,Southall,Transport UK,SD,"Brentford, County Court",Charville Lane Estate,Half Acre,,"Brentford, County Court, Half Acre",Charville Lane Estate,,4.0,4.0,4.0,0.0,4.0,16.59,10.309
196,regular,N,Norwood,Arriva,DD,Norwood Junction,Elephant & Castle,Norwood Junction Station,Elephant & Castle / Newington Causeway,Norwood Junction,Elephant & Castle,,5.0,5.0,5.0,0.0,3.0,15.295,9.504
197,regular,PM,Peckham,Go-Ahead,DD,Fairfield Halls,Peckham,,Peckham Bus Station,Fairfield Halls,Peckham,,5.0,5.0,5.0,0.0,3.0,16.108,10.009
198,regular,N,Norwood,Arriva,DD,"Thornton Heath, High Street",Shrublands,Talbot Road,Shrublands / Bramble Close,"Thornton Heath, High Street, Talbot Road",Shrublands,,5.0,5.0,5.0,0.0,3.0,11.192,6.954
199,regular,TL,Catford,Stagecoach London,DD,"Bellingham, Catford Bus Garage",Canada Water,Catford Garage,Canada Water Bus Station,"Bellingham, Catford Bus Garage, Catford Garage",Canada Water,,5.0,5.0,5.0,0.0,4.0,10.758,6.684
200,regular,AL,Merton,Go-Ahead,DD,Mitcham,Raynes Park,Mitcham Fair Green,Lambton Road,Mitcham,"Raynes Park, Lambton Road",,6.5,6.5,6.0,0.0,5.0,12.013,7.465
201,regular,BC,Beddington,Transport UK,SD,Herne Hill,Morden,Dulwich Road,London Road / Morden Station,"Herne Hill, Dulwich Road",Morden,,3.5,3.5,3.5,0.0,3.0,12.923,8.03
202,regular,N,Norwood,Arriva,DD,"Blackheath, Royal Standard",Crystal Palace,,Crystal Palace Parade,"Blackheath, Royal Standard",Crystal Palace,,6.5,6.0,6.0,0.0,4.0,13.467,8.368
203,regular,AV,Hounslow,First,DD,Staines,"Hounslow, Bus Station",Staines Bus Station,,Staines,"Hounslow, Bus Station",,3.0,3.0,3.0,0.0,2.0,15.722,9.769
204,regular,EW,Edgware,Metroline,DD,Edgware,Sudbury Town Station,Edgware Station,,Edgware,Sudbury Town Station,,6.0,5.5,6.0,0.0,4.0,14.287,8.878
205,regular,BW,Bow,Stagecoach London,DD,Bow Church,Marble Arch,Bow Church Station,Marble Arch Station,Bow Church,Marble Arch,,6.5,6.0,6.0,0.0,5.0,12.959,8.052
206,regular,WJ,Willesden Junction,Metroline,SD,Kilburn Park,"Wembley Park, The Paddocks",Kilburn Park Station,The Paddocks,Kilburn Park,"Wembley Park, The Paddocks",,5.0,4.5,4.5,0.0,3.0,14.543,9.037
207,regular,GW,Southall,Transport UK,DD,White City,Hayes By-Pass,White City Bus Station,,White City,Hayes By-Pass,,7.5,7.5,7.0,0.0,5.5,14.212,8.831
208,regular,TL,Catford,Stagecoach London,DD,"Orpington, Perry Hall Road",Lewisham Station,,,"Orpington, Perry Hall Road",Lewisham Station,,5.0,5.0,5.0,0.0,4.0,18.598,11.556
209,regular,SW,Stockwell,Go-Ahead,SD,"Castlenau, Lonsdale Road",Mortlake,Lonsdale Road,Mortlake Bus Station,"Castlenau, Lonsdale Road",Mortlake,,2.0,2.0,2.0,0.0,2.0,3.064,1.904
210,regular,W,Cricklewood,Metroline,DD,"Brent Cross, Shopping Centre",Finsbury Park Station,,,"Brent Cross, Shopping Centre",Finsbury Park Station,,6.0,6.0,6.0,0.0,5.0,12.139,7.543
211,regular,QB,Battersea,Transport UK,DD,Battersea Power Station,Hammersmith,,Hammersmith Bus Station,Battersea Power Station,Hammersmith,,6.5,5.0,5.5,0.0,4.0,11.444,7.111
212,regular,NP,Northumberland Park,Go-Ahead,DD,"Walthamstow, St James Street Station",Chingford Station,St James Street Station,,"Walthamstow, St James Street Station",Chingford Station,,6.5,7.5,7.0,0.0,4.0,11.499,7.145
213,twentyfour,A,Sutton,Go-Ahead,DD,Sutton Bus Garage,Kingston,,Fairfield Bus Station,Sutton Bus Garage,"Kingston, Fairfield Bus Station",,5.0,5.0,5.0,2.5,5.0,14.66,9.109
214,twentyfour,RA,Waterloo,Go-Ahead,SD,"Moorgate, Finsbury Square",Highgate Village,Finsbury Square,Highgate School,"Moorgate, Finsbury Square","Highgate Village, Highgate School",,8.0,8.0,8.0,2.0,5.0,9.494,5.899
215,regular,T,Leyton,Stagecoach London,DD,Walthamstow Central,Lee Valley Camp Site,Walthamstow Bus Station,,"Walthamstow Central, Walthamstow Bus Station",Lee Valley Camp Site,,3.0,3.0,3.0,0.0,2.0,8.858,5.504
216,regular,FW,Fulwell,First,SD,Kingston,Staines,Cromwell Road Bus Station,Staines Bus Station,"Kingston, Cromwell Road Bus Station",Staines,,3.0,3.0,3.0,0.0,2.0,20.971,13.031
217,regular,E,Enfield,Arriva,DD,Turnpike Lane Station,Waltham Cross,Turnpike Lane Bus Station,Waltham Cross Bus Station,"Turnpike Lane Station, Turnpike Lane Bus Station",Waltham Cross,,5.0,5.0,5.0,0.0,3.5,14.075,8.746
218,regular,X,Westbourne Park,First,SD,North Acton,Hammersmith,North Acton Station,Hammersmith Bus Station,North Acton,Hammersmith,,5.0,5.0,5.0,0.0,5.0,9.016,5.602
219,regular,AL,Merton,Go-Ahead,SD,Clapham Junction,Wimbledon,Falcon Lane,Francis Grove,"Clapham Junction, Falcon Lane","Wimbledon, Francis Grove",,5.0,5.0,5.0,0.0,4.0,9.934,6.172
220,twentyfour,V,Stamford Brook,First,DD,Wandsworth,Willesden Junction,Mapleton Crescent,Willesden Junction Station,"Wandsworth, Mapleton Crescent",Willesden Junction,,7.0,7.5,7.5,2.5,6.0,12.343,7.67
221,regular,WN,Wood Green,Arriva,DD,Turnpike Lane Station,Edgware,,Edgware Station,Turnpike Lane Station,Edgware,,7.5,7.5,7.5,0.0,5.0,17.131,10.645
222,twentyfour,UX,Uxbridge Industrial Estate,Metroline,DD,"Hounslow, Bus Station",Uxbridge,,Belmont Road,"Hounslow, Bus Station","Uxbridge, Belmont Road",,6.0,6.0,6.0,3.0,5.0,17.067,10.605
223,regular,WJ,Willesden Junction,Metroline,SD,Wembley Central,Harrow,Wembley Central Station,Harrow View West,Wembley Central,Harrow,,2.5,2.5,3.0,0.0,2.5,13.844,8.602
224,regular,AO,Athlon Road,Metroline,SD,St Raphael's,"Alperton, Sainsbury's",Mitchell Way,,"St Raphael's, Mitchell Way","Alperton, Sainsbury's",,3.0,3.0,3.0,0.0,2.5,12.453,7.738
225,regular,TL,Catford,Stagecoach London,SD,Canada Water,Hither Green,Canada Water Bus Station,Springbank Road / Hither Green Station,Canada Water,Hither Green,,3.0,3.0,3.0,0.0,3.0,8.929,5.548
226,regular,BT,Edgware,First,SD,Golders Green,Ealing Broadway,Golders Green Station,Haven Green / Ealing Broadway Stn,Golders Green,Ealing Broadway,,5.5,5.0,5.0,0.0,3.0,15.989,9.935
227,regular,SM,Sydenham,Go-Ahead,SD,Crystal Palace,Bromley North,,Bromley North Station,Crystal Palace,Bromley North,,7.0,6.5,6.5,0.0,4.5,8.886,5.521
228,regular,WJ,Willesden Junction,Metroline,SD,"Maida Hill, Chippenham Gardens",Central Middlesex Hospital,Chippenham Road / Shirland Road,,"Maida Hill, Chippenham Gardens, Chippenham Road / Shirland Road",Central Middlesex Hospital,,2.0,2.0,2.0,0.0,2.0,14.883,9.248
229,regular,DT,Dartford,Arriva,DD,Queen Mary's Hospital,Thamesmead,Queen Mary's Hospital / Chislehurst Road,Thamesmead Town Centre,Queen Mary's Hospital,Thamesmead,,5.0,5.0,5.0,0.0,4.0,21.547,13.389
230,regular,NP,Northumberland Park,Go-Ahead,DD,Wood Green,Fyfield Road,Wood Green Station,,Wood Green,Fyfield Road,,4.0,4.0,4.0,0.0,4.0,12.703,7.893
231,regular,PB,Potters Bar,Metroline,DD,Turnpike Lane Station,Enfield Chase,Turnpike Lane Bus Station,Enfield Chase Station,"Turnpike Lane Station, Turnpike Lane Bus Station",Enfield Chase,,4.0,4.0,4.0,0.0,3.0,10.243,6.364
232,regular,NP,Northumberland Park,Go-Ahead,SD,Turnpike Lane Station,St Raphael's,,Mitchell Way,Turnpike Lane Station,"St Raphael's, Mitchell Way",,5.0,5.0,5.0,0.0,4.0,21.563,13.399
233,regular,MB,Orpington,Go-Ahead,SD,Swanley,Eltham Station,Beechenlea Lane,Eltham Bus Station,"Swanley, Beechenlea Lane","Eltham Station, Eltham Bus Station",,3.0,2.5,2.5,0.0,2.5,14.681,9.122
234,regular,HT,Holloway,Metroline,SD,Archway Station,"Barnet, The Spires",,The Spires,Archway Station,"Barnet, The Spires",,5.0,5.0,5.0,0.0,3.0,14.921,9.271
235,regular,WK,Hounslow Heath,First,SD,North Brentford Quarter,Three Fishes,Great West Quarter,,"North Brentford Quarter, Great West Quarter",Three Fishes,,7.5,7.0,7.5,0.0,5.0,15.84,9.843
236,regular,HO,Lea Interchange,Stagecoach London,SD,Hackney Wick,Finsbury Park Station,,Finsbury Park Interchange,Hackney Wick,"Finsbury Park Station, Finsbury Park Interchange",,6.0,6.0,6.0,0.0,5.0,11.236,6.982
237,regular,AH,Brentford,Metroline,DD,White City,Hounslow Heath,White City Bus Station,Hounslow Heath / the Hussar,White City,Hounslow Heath,,6.5,6.5,6.5,0.0,4.5,14.895,9.255
238,twentyfour,BK,Barking,Stagecoach London,DD,Barking,Stratford,Barking Station,Stratford Bus Station,Barking,Stratford,,6.0,6.0,6.0,2.5,4.0,7.634,4.744
240,regular,EW,Edgware,Metroline,DD,Edgware,Golders Green,Edgware Station,Golders Green Station,Edgware,Golders Green,,8.5,5.5,5.0,0.0,3.0,12.359,7.68
241,regular,WH,West Ham,Stagecoach London,DD,Royal Crest Avenue,"Hackney Wick, Here East",,Here East,Royal Crest Avenue,"Hackney Wick, Here East",,5.5,6.0,5.0,0.0,5.0,12.058,7.493
242,regular,HK,Ash Grove,Stagecoach London,DD,Aldgate,Homerton Hospital,Aldgate Station,,Aldgate,Homerton Hospital,,6.0,6.0,6.0,0.0,5.0,9.231,5.736
243,twentyfour,AR,Tottenham,Arriva,DD,Waterloo,Wood Green,Waterloo Station / Mepham Street,Wood Green Station,Waterloo,Wood Green,,7.0,7.5,7.5,2.5,7.0,15.901,9.88
244,regular,MG,Morden Wharf (Greenwich),Go-Ahead,SD,Abbey Wood,Queen Elizabeth Hospital,Abbey Wood Road,Queen Elizabeth Hospital / West Entrance,Abbey Wood,Queen Elizabeth Hospital,,5.5,5.0,5.5,0.0,4.0,13.709,8.518
245,regular,AO,Athlon Road,Metroline,DD,Golders Green,Glacier Way,Golders Green Station,,Golders Green,Glacier Way,,5.5,5.5,5.5,0.0,5.0,15.215,9.454
246,regular,TB,Bromley,Stagecoach London,SD,Chartwell,Bromley North,,Bromley North Station,Chartwell,Bromley North,,2.0,2.0,2.0,0.0,1.0,24.74,15.373
247,regular,NS,Romford,Stagecoach London,DD,Romford Station,Barkingside,,Barkingside Station,Romford Station,Barkingside,,5.5,5.5,6.0,0.0,3.0,13.254,8.236
248,regular,GY,Grays,Arriva,DD,Cranham,Romford Market,Moor Lane,,"Cranham, Moor Lane",Romford Market,,7.5,7.5,7.5,0.0,4.0,11.13,6.916
249,regular,N,Norwood,Arriva,DD,Anerley Station,Clapham Common,Jasmine Grove,Clapham Common Old Town,"Anerley Station, Jasmine Grove",Clapham Common,,6.0,6.0,6.0,0.0,5.0,13.083,8.13
250,regular,TH,Thornton Heath,Arriva,DD,Croydon Town Centre,Brixton,West Croydon Bus Station,Brixton Station,"Croydon Town Centre, West Croydon Bus Station",Brixton,,8.5,8.5,8.0,0.0,5.0,11.963,7.434
251,regular,EW,Edgware,Metroline,SD,Edgware,Arnos Grove,Edgware Station,Arnos Grove Station,Edgware,Arnos Grove,,5.5,5.0,5.0,0.0,3.0,14.787,9.188
252,regular,RM,Rainham,Stagecoach London,DD,"Hornchurch, Town Centre",Collier Row,,White Hart Lane,"Hornchurch, Town Centre","Collier Row, White Hart Lane",,6.0,6.0,6.0,0.0,4.0,13.607,8.455
253,regular,CT,Clapton,Arriva,DD,Euston,Hackney Central,Mornington Cres Stn / Camden Tn Library,Hackney Central Station,"Euston, Mornington Cres Stn / Camden Tn Library",Hackney Central,,8.0,7.0,7.5,0.0,7.5,12.156,7.553
254,regular,SF,Stamford Hill,Arriva,DD,"Holloway, Nags Head",Aldgate,Caledonian Road,Aldgate Station,"Holloway, Nags Head, Caledonian Road",Aldgate,,7.5,7.5,7.5,0.0,7.5,12.886,8.007
255,regular,TH,Thornton Heath,Arriva,SD,Balham,Pollards Hill,Balham Station / Balham Station Road,South Lodge Avenue / Yorkshire Road,Balham,"Pollards Hill, South Lodge Avenue / Yorkshire Road",,4.5,4.5,4.5,0.0,4.0,9.34,5.804
256,regular,RM,Rainham,Stagecoach London,DD,Noak Hill,"Hornchurch, St George's Park",Wincanton Road,St George's Park,"Noak Hill, Wincanton Road","Hornchurch, St George's Park",,6.0,6.0,6.0,0.0,3.0,11.139,6.921
257,regular,T,Leyton,Stagecoach London,DD,Walthamstow Central,Stratford,Walthamstow Bus Station,Stratford Bus Station,"Walthamstow Central, Walthamstow Bus Station",Stratford,,8.0,8.0,8.0,0.0,5.0,8.602,5.345
258,regular,HD,Harrow Weald,Metroline,DD,South Harrow,Watford Junction,South Harrow Bus Station,Watford Junction Station,South Harrow,Watford Junction,,4.0,4.0,4.0,0.0,3.0,16.464,10.23
259,regular,AR,Tottenham,Arriva,DD,King's Cross,Edmonton Green,King's Cross Road / Pentonville Road,Edmonton Green Bus Station,King's Cross,Edmonton Green,,6.0,6.0,6.0,0.0,5.0,12.804,7.956
260,regular,AC,Willesden,Metroline,DD,Golders Green,White City,Golders Green Station,White City Bus Station,Golders Green,White City,,4.5,4.5,5.0,0.0,4.5,16.654,10.348
261,regular,TB,Bromley,Stagecoach London,DD,Princess Royal Hospital,Lewisham Station,Princess Royal University Hospital,,"Princess Royal Hospital, Princess Royal University Hospital",Lewisham Station,,4.5,4.5,4.5,0.0,4.0,14.582,9.061
262,regular,RR,River Road,Go-Ahead,DD,Stratford,"Gallions Reach, Shopping Park",Stratford Bus Station,,Stratford,"Gallions Reach, Shopping Park",,5.0,4.5,4.5,0.0,4.5,9.225,5.732
263,regular,PB,Potters Bar,Metroline,DD,Barnet Hospital,Highbury Barn,,,Barnet Hospital,Highbury Barn,,6.0,6.0,6.0,0.0,5.0,14.294,8.882
264,twentyfour,C,Croydon,Go-Ahead,DD,"Tooting, St. George's Hospital",Croydon Town Centre,St George's Hospital,West Croydon Bus Station,"Tooting, St. George's Hospital","Croydon Town Centre, West Croydon Bus Station",,5.0,5.0,5.0,2.0,4.0,10.536,6.546
265,regular,AF,Putney,Go-Ahead,SD,Tolworth,Putney Heath,Tolworth / King Charles Road,Putney Bridge Station,Tolworth,"Putney Heath, Putney Bridge Station",,4.5,4.5,4.5,0.0,3.0,17.608,10.941
